Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
14524305,Discrete Structures in Five Chapters,Amin Witno,"Witno, Amin",,"=""1449976611""","=""9781449976613""",0,CreateSpace Independent Publishing Platform,Paperback,198,2010,2010,2022/10/20,2022/09/07,,,read,,,,1,0
208123,The Tibetan Book of the Dead,Padmasambhava,"Padmasambhava, Padmasambhava","Karma-glin-pa, Gyurme Dorje, Graham Coleman, Thupten Jinpa, Dalai Lama XIV, Namka Chokyi Gyatso","=""0143104942""","=""9780143104940""",0,Penguin Classics,Paperback,535,2007,1350,2022/10/20,2022/10/19,,,read,,,,1,0
61062151,The Happiness Trap (Second Edition),Russ Harris,"Harris, Russ",,"=""1645471160""","=""9781645471165""",0,Shambhala Publications,Paperback,320,2022,2007,,2022/10/17,to-read,to-read (#263),to-read,,,,0,0
35683024,Unf*ck Yourself: Get Out of Your Head and into Your Life,Gary John Bishop,"Bishop, Gary John",,"=""""","=""""",3.0,Yellow Kite,ebook,227,2017,2016,2022/10/18,2022/10/18,,,read,,,,1,0
36640169,"Think Straight: Change Your Thoughts, Change Your Life",Darius Foroux,"Foroux, Darius",,"=""""","=""""",0,North Eagle Publishing,Kindle Edition,78,2017,2017,2022/10/17,2022/10/17,,,read,,,,1,0
35345,How Societies Remember (Themes in the Social Sciences),Paul Connerton,"Connerton, Paul",,"=""0521270936""","=""9780521270939""",5.0,Cambridge University Press,Paperback,121,1989,1989,2022/10/17,2022/10/03,,,read,,,,2,0
12484833,How To Get What You Want,Wallace D. Wattles,"Wattles, Wallace D.",,"=""""","=""""",3.0,khepartner,Nook,0,2011,,2022/10/17,2022/10/17,,,read,,,,1,0
40078926,Master Your Emotions: A Practical Guide to Overcome Negativity and Better Manage Your Feelings (Mastery Series Book 1),Thibaut Meurisse,"Meurisse, Thibaut",Kerry J.  Donovan,"=""""","=""""",4.0,,Kindle Edition,215,2018,2018,2022/10/17,2022/10/10,,,read,,,,1,0
50434387,HABITS TO STAY MOTIVATED: Activate your motivational power to improve your world! (INTRODUCTION TO MOTIVATION Book 1),MENTES LIBRES,"LIBRES, MENTES",,"=""""","=""""",2.0,,Kindle Edition,83,2020,,2022/10/16,2022/10/15,,,read,,,,1,0
59934231,Life Advice From Death Row,Carter Armendarez,"Armendarez, Carter",,"=""""","=""""",3.0,,Kindle Edition,70,2021,,2022/10/15,2022/09/26,,,read,,,,1,0
379780,Human Osteology,Tim D. White,"White, Tim D.",Pieter A. Folkens,"=""0127466126""","=""9780127466125""",5.0,Academic Press,Hardcover,592,1999,1991,2022/10/15,2022/10/15,,,read,,,,1,0
1134122,The Power of Positive Thinking,Norman Vincent Peale,"Peale, Norman Vincent",,"=""1416560610""","=""9781416560616""",0,Fireside,Hardcover,128,2007,1952,2022/10/10,2022/10/07,,,read,,,,1,0
